Hour,Min,Count_Corrected
0,0,13
0,1,12
0,2,10
0,3,9
0,4,12
0,5,10
0,6,10
0,7,11
0,8,10
0,9,12
0,10,12
0,11,9
0,12,10
0,13,10
0,14,11
0,15,10
0,16,11
0,17,11
0,18,12
0,19,13
0,20,10
0,21,11
0,22,11
0,23,10
0,24,11
0,25,12
0,26,10
0,27,12
0,28,11
0,29,11
0,30,10
0,31,11
0,32,9
0,33,12
0,34,10
0,35,10
0,36,11
0,37,12
0,38,10
0,39,11
0,40,11
0,41,11
0,42,11
0,43,10
0,44,10
0,45,9
0,46,11
0,47,10
0,48,11
0,49,10
0,50,10
0,51,10
0,52,10
0,53,11
0,54,10
0,55,10
0,56,10
0,57,10
0,58,9
0,59,9
1,0,8
1,1,7
1,2,6
1,3,8
1,4,7
1,5,7
1,6,7
1,7,8
1,8,7
1,9,9
1,10,10
1,11,8
1,12,10
1,13,9
1,14,8
1,15,8
1,16,10
1,17,9
1,18,9
1,19,9
1,20,10
1,21,8
1,22,10
1,23,8
1,24,9
1,25,9
1,26,8
1,27,11
1,28,9
1,29,8
1,30,8
1,31,9
1,32,8
1,33,9
1,34,8
1,35,9
1,36,9
1,37,9
1,38,9
1,39,7
1,40,10
1,41,8
1,42,9
1,43,9
1,44,8
1,45,8
1,46,10
1,47,9
1,48,8
1,49,9
1,50,9
1,51,9
1,52,9
1,53,9
1,54,9
1,55,8
1,56,8
1,57,10
1,58,9
1,59,7
2,0,8
2,1,8
2,2,7
2,3,8
2,4,9
2,5,8
2,6,9
2,7,10
2,8,10
2,9,11
2,10,9
2,11,9
2,12,11
2,13,11
2,14,9
2,15,9
2,16,9
2,17,10
2,18,10
2,19,10
2,20,10
2,21,9
2,22,10
2,23,10
2,24,9
2,25,11
2,26,10
2,27,9
2,28,9
2,29,10
2,30,10
2,31,10
2,32,8
2,33,9
2,34,10
2,35,9
2,36,8
2,37,9
2,38,9
2,39,10
2,40,9
2,41,8
2,42,9
2,43,9
2,44,8
2,45,9
2,46,9
2,47,9
2,48,10
2,49,9
2,50,8
2,51,10
2,52,10
2,53,9
2,54,10
2,55,10
2,56,9
2,57,8
2,58,9
2,59,9
3,0,9
3,1,9
3,2,9
3,3,10
3,4,9
3,5,9
3,6,9
3,7,10
3,8,10
3,9,10
3,10,10
3,11,10
3,12,10
3,13,10
3,14,10
3,15,10
3,16,10
3,17,9
3,18,10
3,19,10
3,20,8
3,21,9
3,22,8
3,23,8
3,24,9
3,25,8
3,26,9
3,27,8
3,28,9
3,29,9
3,30,8
3,31,8
3,32,7
3,33,8
3,34,8
3,35,9
3,36,8
3,37,8
3,38,9
3,39,9
3,40,9
3,41,9
3,42,10
3,43,9
3,44,8
3,45,9
3,46,8
3,47,9
3,48,8
3,49,10
3,50,10
3,51,9
3,52,10
3,53,10
3,54,10
3,55,10
3,56,9
3,57,10
3,58,11
3,59,11
4,0,17
4,1,31
4,2,35
4,3,38
4,4,37
4,5,36
4,6,35
4,7,34
4,8,30
4,9,31
4,10,30
4,11,28
4,12,26
4,13,27
4,14,26
4,15,25
4,16,24
4,17,24
4,18,24
4,19,23
4,20,21
4,21,24
4,22,23
4,23,21
4,24,21
4,25,23
4,26,21
4,27,23
4,28,23
4,29,21
4,30,21
4,31,22
4,32,21
4,33,20
4,34,20
4,35,21
4,36,20
4,37,24
4,38,21
4,39,22
4,40,22
4,41,21
4,42,24
4,43,22
4,44,23
4,45,22
4,46,25
4,47,23
4,48,26
4,49,27
4,50,26
4,51,25
4,52,27
4,53,28
4,54,29
4,55,30
4,56,26
4,57,28
4,58,28
4,59,28
5,0,30
5,1,31
5,2,26
5,3,29
5,4,28
5,5,29
5,6,28
5,7,31
5,8,30
5,9,33
5,10,34
5,11,32
5,12,32
5,13,35
5,14,33
5,15,33
5,16,37
5,17,33
5,18,34
5,19,38
5,20,35
5,21,38
5,22,37
5,23,34
5,24,38
5,25,39
5,26,38
5,27,38
5,28,37
5,29,39
5,30,37
5,31,38
5,32,41
5,33,40
5,34,43
5,35,40
5,36,42
5,37,44
5,38,41
5,39,44
5,40,44
5,41,42
5,42,47
5,43,50
5,44,44
5,45,49
5,46,51
5,47,50
5,48,50
5,49,54
5,50,51
5,51,56
5,52,55
5,53,54
5,54,56
5,55,58
5,56,57
5,57,59
5,58,61
5,59,59
6,0,59
6,1,62
6,2,56
6,3,59
6,4,61
6,5,62
6,6,65
6,7,64
6,8,63
6,9,64
6,10,66
6,11,66
6,12,67
6,13,67
6,14,65
6,15,69
6,16,70
6,17,69
6,18,68
6,19,70
6,20,70
6,21,74
6,22,74
6,23,71
6,24,74
6,25,75
6,26,76
6,27,79
6,28,78
6,29,77
6,30,76
6,31,81
6,32,79
6,33,82
6,34,90
6,35,85
6,36,93
6,37,93
6,38,84
6,39,93
6,40,93
6,41,89
6,42,96
6,43,94
6,44,90
6,45,97
6,46,105
6,47,101
6,48,103
6,49,106
6,50,104
6,51,110
6,52,114
6,53,106
6,54,109
6,55,113
6,56,110
6,57,113
6,58,114
6,59,111
7,0,102
7,1,112
7,2,113
7,3,112
7,4,115
7,5,112
7,6,116
7,7,118
7,8,106
7,9,111
7,10,119
7,11,123
7,12,115
7,13,118
7,14,109
7,15,120
7,16,122
7,17,116
7,18,117
7,19,119
7,20,122
7,21,121
7,22,128
7,23,121
7,24,122
7,25,129
7,26,129
7,27,132
7,28,136
7,29,132
7,30,136
7,31,137
7,32,137
7,33,137
7,34,145
7,35,138
7,36,141
7,37,150
7,38,137
7,39,147
7,40,145
7,41,146
7,42,139
7,43,147
7,44,137
7,45,152
7,46,160
7,47,153
7,48,154
7,49,155
7,50,158
7,51,160
7,52,163
7,53,160
7,54,157
7,55,164
7,56,162
7,57,166
7,58,161
7,59,158
8,0,148
8,1,147
8,2,142
8,3,147
8,4,154
8,5,150
8,6,155
8,7,163
8,8,152
8,9,150
8,10,154
8,11,150
8,12,154
8,13,152
8,14,144
8,15,145
8,16,155
8,17,146
8,18,147
8,19,145
8,20,140
8,21,144
8,22,141
8,23,140
8,24,134
8,25,146
8,26,140
8,27,147
8,28,146
8,29,137
8,30,138
8,31,143
8,32,138
8,33,134
8,34,138
8,35,132
8,36,142
8,37,140
8,38,133
8,39,133
8,40,133
8,41,132
8,42,136
8,43,134
8,44,128
8,45,131
8,46,137
8,47,135
8,48,131
8,49,130
8,50,134
8,51,136
8,52,134
8,53,131
8,54,125
8,55,136
8,56,133
8,57,134
8,58,128
8,59,117
9,0,88
9,1,84
9,2,86
9,3,88
9,4,89
9,5,89
9,6,94
9,7,95
9,8,89
9,9,93
9,10,96
9,11,96
9,12,95
9,13,97
9,14,95
9,15,97
9,16,101
9,17,98
9,18,100
9,19,97
9,20,92
9,21,97
9,22,100
9,23,92
9,24,93
9,25,95
9,26,90
9,27,85
9,28,94
9,29,87
9,30,95
9,31,94
9,32,90
9,33,87
9,34,86
9,35,86
9,36,89
9,37,91
9,38,86
9,39,84
9,40,79
9,41,71
9,42,77
9,43,82
9,44,82
9,45,87
9,46,87
9,47,88
9,48,88
9,49,87
9,50,92
9,51,96
9,52,95
9,53,91
9,54,87
9,55,94
9,56,91
9,57,89
9,58,90
9,59,84
10,0,80
10,1,73
10,2,76
10,3,77
10,4,78
10,5,80
10,6,80
10,7,85
10,8,79
10,9,79
10,10,83
10,11,81
10,12,83
10,13,83
10,14,77
10,15,80
10,16,83
10,17,79
10,18,85
10,19,83
10,20,77
10,21,81
10,22,80
10,23,77
10,24,77
10,25,82
10,26,83
10,27,78
10,28,79
10,29,78
10,30,78
10,31,81
10,32,79
10,33,81
10,34,82
10,35,79
10,36,79
10,37,78
10,38,84
10,39,81
10,40,80
10,41,79
10,42,75
10,43,78
10,44,74
10,45,78
10,46,79
10,47,81
10,48,80
10,49,84
10,50,79
10,51,82
10,52,86
10,53,83
10,54,86
10,55,84
10,56,81
10,57,83
10,58,89
10,59,81
11,0,75
11,1,83
11,2,72
11,3,70
11,4,76
11,5,76
11,6,79
11,7,78
11,8,78
11,9,79
11,10,80
11,11,77
11,12,80
11,13,77
11,14,77
11,15,75
11,16,86
11,17,78
11,18,80
11,19,82
11,20,75
11,21,79
11,22,80
11,23,76
11,24,75
11,25,80
11,26,78
11,27,78
11,28,85
11,29,81
11,30,80
11,31,83
11,32,83
11,33,81
11,34,79
11,35,78
11,36,82
11,37,82
11,38,78
11,39,81
11,40,79
11,41,82
11,42,84
11,43,82
11,44,78
11,45,80
11,46,83
11,47,80
11,48,86
11,49,84
11,50,80
11,51,83
11,52,84
11,53,79
11,54,80
11,55,83
11,56,80
11,57,78
11,58,76
11,59,61
12,0,46
12,1,49
12,2,53
12,3,52
12,4,57
12,5,61
12,6,64
12,7,66
12,8,65
12,9,66
12,10,70
12,11,71
12,12,69
12,13,67
12,14,69
12,15,71
12,16,78
12,17,76
12,18,74
12,19,74
12,20,75
12,21,74
12,22,74
12,23,73
12,24,76
12,25,74
12,26,75
12,27,72
12,28,78
12,29,77
12,30,78
12,31,78
12,32,75
12,33,74
12,34,78
12,35,73
12,36,77
12,37,77
12,38,73
12,39,74
12,40,75
12,41,79
12,42,75
12,43,73
12,44,72
12,45,75
12,46,74
12,47,75
12,48,76
12,49,74
12,50,72
12,51,79
12,52,78
12,53,74
12,54,75
12,55,78
12,56,77
12,57,80
12,58,79
12,59,71
13,0,58
13,1,54
13,2,54
13,3,53
13,4,55
13,5,58
13,6,64
13,7,61
13,8,64
13,9,64
13,10,66
13,11,68
13,12,70
13,13,67
13,14,65
13,15,71
13,16,72
13,17,71
13,18,74
13,19,72
13,20,70
13,21,76
13,22,79
13,23,73
13,24,75
13,25,80
13,26,79
13,27,80
13,28,77
13,29,76
13,30,77
13,31,78
13,32,77
13,33,72
13,34,79
13,35,76
13,36,78
13,37,77
13,38,75
13,39,76
13,40,82
13,41,77
13,42,76
13,43,78
13,44,70
13,45,75
13,46,78
13,47,78
13,48,75
13,49,76
13,50,75
13,51,76
13,52,78
13,53,72
13,54,78
13,55,78
13,56,76
13,57,76
13,58,75
13,59,73
14,0,73
14,1,70
14,2,65
14,3,66
14,4,70
14,5,68
14,6,67
14,7,72
14,8,68
14,9,67
14,10,72
14,11,71
14,12,70
14,13,71
14,14,69
14,15,73
14,16,74
14,17,71
14,18,72
14,19,75
14,20,74
14,21,71
14,22,76
14,23,72
14,24,74
14,25,79
14,26,76
14,27,75
14,28,74
14,29,80
14,30,76
14,31,77
14,32,74
14,33,77
14,34,79
14,35,78
14,36,82
14,37,79
14,38,81
14,39,81
14,40,81
14,41,78
14,42,81
14,43,79
14,44,78
14,45,81
14,46,83
14,47,80
14,48,81
14,49,79
14,50,82
14,51,85
14,52,82
14,53,76
14,54,80
14,55,84
14,56,85
14,57,82
14,58,81
14,59,80
15,0,72
15,1,73
15,2,69
15,3,70
15,4,75
15,5,74
15,6,75
15,7,78
15,8,76
15,9,82
15,10,83
15,11,81
15,12,80
15,13,81
15,14,83
15,15,85
15,16,86
15,17,86
15,18,83
15,19,86
15,20,88
15,21,92
15,22,90
15,23,89
15,24,87
15,25,90
15,26,92
15,27,91
15,28,97
15,29,90
15,30,90
15,31,94
15,32,90
15,33,91
15,34,91
15,35,92
15,36,93
15,37,94
15,38,91
15,39,97
15,40,95
15,41,95
15,42,94
15,43,96
15,44,93
15,45,93
15,46,96
15,47,91
15,48,93
15,49,94
15,50,98
15,51,100
15,52,98
15,53,99
15,54,98
15,55,97
15,56,99
15,57,99
15,58,103
15,59,95
16,0,97
16,1,99
16,2,90
16,3,95
16,4,98
16,5,101
16,6,102
16,7,107
16,8,102
16,9,101
16,10,102
16,11,103
16,12,102
16,13,108
16,14,100
16,15,102
16,16,107
16,17,101
16,18,102
16,19,108
16,20,106
16,21,104
16,22,109
16,23,106
16,24,102
16,25,108
16,26,106
