Hour,Min,Count_Corrected
0,1,0
0,2,312
0,3,263
0,4,93
1,1,0
1,2,249
1,3,224
1,4,73
2,1,0
2,2,258
2,3,246
2,4,74
3,1,0
3,2,252
3,3,242
3,4,81
4,1,0
4,2,891
4,3,572
4,4,87
5,1,0
5,2,1509
5,3,862
5,4,124
6,1,1
6,2,3241
6,3,1624
6,4,138
7,1,3
7,2,5620
7,3,2324
7,4,148
8,1,3
8,2,5942
8,3,2355
8,4,147
9,1,2
9,2,3722
9,3,1580
9,4,139
10,1,1
10,2,3342
10,3,1378
10,4,126
11,1,1
11,2,3313
11,3,1346
11,4,122
12,1,1
12,2,2911
12,3,1286
12,4,141
13,1,1
13,2,2865
13,3,1350
13,4,142
14,1,1
14,2,2980
14,3,1461
14,4,141
15,1,1
15,2,3452
15,3,1755
15,4,151
16,1,2
16,2,4104
16,3,2103
16,4,154
17,1,2
17,2,4223
17,3,2224
17,4,152
18,1,2
18,2,3144
18,3,1715
18,4,141
19,1,1
19,2,2212
19,3,1210
19,4,114
20,1,0
20,2,1543
20,3,917
20,4,109
21,1,0
21,2,957
21,3,687
21,4,86
22,1,0
22,2,790
22,3,586
22,4,93
23,1,0
23,2,379
23,3,302
23,4,93
